Fondsposition per,"17.Sept.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"TITAN","TITAN COMPANY LTD","Zyklische Konsumgüter ","Aktien","60.593.702,65","0,13","60.593.702,65","1.200.828,00","50,46","Indien","National Stock Exchange Of India","INR"
"3231","WISTRON","IT","Aktien","59.105.498,69","0,13","59.105.498,69","10.104.188,00","5,85","Taiwan","Taiwan Stock Exchange","TWD"
"3443","GLOBAL UNICHIP","IT","Aktien","58.715.596,33","0,13","58.715.596,33","288.000,00","203,87","Taiwan","Taiwan Stock Exchange","TWD"
"316140","WOORI FINANCIAL GROUP INC","Finanzwesen","Aktien","58.353.028,34","0,13","58.353.028,34","2.221.032,00","26,27","Korea","Korea Exchange (Stock Market)","KRW"
"AMXB","AMERICA MOVIL B","Kommunikation","Aktien","58.189.051,77","0,13","58.189.051,77","50.632.430,00","1,15","Mexiko","Bolsa Mexicana De Valores","MXN"
"1801","INNOVENT BIOLOGICS","Gesundheitsversorgung","Aktien","57.973.217,64","0,13","57.973.217,64","4.730.500,00","12,26","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1211","SAUDI ARABIAN MINING","Materialien","Aktien","57.521.310,79","0,12","57.521.310,79","3.485.142,00","16,50","Saudi-Arabien","Saudi Stock Exchange","SAR"
"2301","LITE ON TECHNOLOGY","IT","Aktien","57.482.456,52","0,12","57.482.456,52","6.592.390,00","8,72","Taiwan","Taiwan Stock Exchange","TWD"
"ETE","NATIONAL BANK OF GREECE","Finanzwesen","Aktien","57.376.253,85","0,12","57.376.253,85","2.869.225,00","20,00","Griechenland","Athens Exchange S.A. Cash Market","EUR"
"BBCA","BANK CENTRAL ASIA","Finanzwesen","Aktien","57.024.718,15","0,12","57.024.718,15","159.310.000,00","0,36","Indonesien","Indonesia Stock Exchange","IDR"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Gesundheitsversorgung","Aktien","56.946.893,61","0,12","56.946.893,61","2.925.798,00","19,46","Indien","National Stock Exchange Of India","INR"
"2344","WINBOND ELECTRONICS","IT","Aktien","56.388.193,52","0,12","56.388.193,52","10.575.274,00","5,33","Taiwan","Taiwan Stock Exchange","TWD"
"2412","CHUNGHWA TELECOM LTD","Kommunikation","Aktien","56.321.806,63","0,12","56.321.806,63","12.384.000,00","4,55","Taiwan","Taiwan Stock Exchange","TWD"
"3008","LARGAN PRECISION LTD","IT","Aktien","55.323.766,96","0,12","55.323.766,96","293.000,00","188,82","Taiwan","Taiwan Stock Exchange","TWD"
"005490","POSCO","Materialien","Aktien","54.396.343,86","0,12","54.396.343,86","230.189,00","236,31","Korea","Korea Exchange (Stock Market)","KRW"
"032830","SAMSUNG LIFE LTD","Finanzwesen","Aktien","54.115.700,79","0,12","54.115.700,79","266.556,00","203,02","Korea","Korea Exchange (Stock Market)","KRW"
